machine_id,line_id,timestamp,shift,avg_temperature,avg_vibration,avg_pressure,avg_cycle_time,avg_energy_consumption,pressure_instability,anomaly_signal,machine_age_years,days_since_maintenance,baseline_health_score,cycle_time_drift,pressure_deviation,night_shift_flag,maintenance_recency_score,defect_flag,defect_count,defect_probability,previous_downtime_minutes,downtime_event_count,quality_risk_index,anomaly_count_24h,yield_rate
M001,L1,2026-01-01 00:00:00,Night,79.91749999999999,1.64925,92.035,59.165,171.5475,1.87,0.47150000000000003,3,3,0.768,-4.746250000000003,0.22750000000000625,1,27,0,1,0.0187,0.0,0.0,2.282099999999997,0.0,0.99
M001,L1,2026-01-01 04:00:00,Night,80.66,1.69025,95.96000000000001,62.3425,173.68,2.8200000000000003,0.5855,3,3,0.768,-1.5687500000000014,3.697500000000005,1,27,0,0,0.0249,0.0,0.0,3.0421999999999993,0.0,1.0
M001,L1,2026-01-01 08:00:00,Day,77.825,1.54175,94.525,60.6,171.1375,2.255,0.3095,3,3,0.768,-3.311250000000001,2.262500000000003,0,27,0,0,0.0114,0.0,0.0,1.824250000000001,0.0,1.0
M001,L1,2026-01-01 12:00:00,Day,76.105,1.45925,91.3625,60.964999999999996,170.595,1.7774999999999999,0.26175000000000004,3,3,0.768,-2.9462500000000063,0.9000000000000057,0,27,0,0,0.0089,0.0,0.0,1.0112250000000012,0.0,1.0
M001,L1,2026-01-01 16:00:00,Evening,75.80499999999999,1.67975,89.765,61.455,171.63,3.375,0.4215,3,3,0.768,-2.4562500000000043,2.4975000000000023,0,27,0,0,0.0133,0.0,0.0,1.8562500000000002,0.0,1.0
M001,L1,2026-01-01 20:00:00,Evening,76.67,1.64325,91.08250000000001,59.545,170.745,2.1275,0.29675,3,3,0.768,-4.366250000000001,1.1799999999999926,0,27,0,0,0.0113,0.0,0.0,1.3845250000000007,0.0,1.0
M001,L1,2026-01-02 00:00:00,Night,80.655,1.78375,91.9725,60.5775,173.5,1.1675,0.40925,3,4,0.768,-3.333750000000002,0.29000000000000625,1,26,0,2,0.022,0.0,0.0,2.1317250000000003,0.0,0.98
M001,L1,2026-01-02 04:00:00,Night,81.0375,1.7555,95.185,61.185,174.01999999999998,2.045,0.5165,3,4,0.768,-2.7262500000000003,2.9224999999999994,1,26,0,0,0.0244,0.0,0.0,2.7367499999999985,0.0,1.0
M001,L1,2026-01-02 08:00:00,Day,77.5075,1.5150000000000001,94.05250000000001,60.082499999999996,170.35750000000002,1.6625,0.25025000000000003,3,4,0.768,-3.8287500000000065,1.7900000000000063,0,26,0,0,0.0102,0.0,0.0,1.396774999999998,0.0,1.0
M001,L1,2026-01-02 12:00:00,Day,77.46000000000001,1.7185,91.145,60.1975,172.195,2.27,0.311,3,4,0.768,-3.7137500000000045,1.1175000000000068,0,26,0,0,0.0134,0.0,0.0,1.7157000000000027,0.0,1.0
M001,L1,2026-01-02 16:00:00,Evening,75.315,1.52475,90.3925,61.587500000000006,171.72,2.7475,0.35875,3,4,0.768,-2.323749999999997,1.8700000000000045,0,26,0,0,0.0103,0.0,0.0,1.511125,0.0,1.0
M001,L1,2026-01-02 20:00:00,Evening,76.82,1.621,90.3925,59.685,172.58249999999998,2.7475,0.35875,3,4,0.768,-4.22625,1.8700000000000045,0,26,0,0,0.0117,0.0,0.0,1.7735249999999978,0.0,1.0
M001,L1,2026-01-03 00:00:00,Night,81.005,1.71775,93.0675,60.5375,174.845,2.9425,0.5995,3,5,0.768,-3.373750000000001,0.8049999999999926,1,25,0,0,0.0246,0.0,0.0,3.219974999999999,0.0,1.0
M001,L1,2026-01-03 04:00:00,Night,81.25999999999999,1.814,95.87,62.44,175.615,2.81,0.673,3,5,0.768,-1.4712500000000048,3.6075000000000017,1,25,0,0,0.0303,0.0,0.0,3.2286999999999972,0.0,1.0
M001,L1,2026-01-03 08:00:00,Day,77.61500000000001,1.6925,94.5025,59.805,171.57,1.6675,0.25075,3,5,0.768,-4.106250000000003,2.239999999999995,0,25,0,0,0.0127,0.0,0.0,1.433925000000003,0.0,1.0
M001,L1,2026-01-03 12:00:00,Day,76.36250000000001,1.6087500000000001,92.4425,61.567499999999995,172.9425,1.4525000000000001,0.22925,3,5,0.768,-2.343750000000007,0.1799999999999926,0,25,0,0,0.0107,0.0,0.0,0.9148750000000038,0.0,1.0
M001,L1,2026-01-03 16:00:00,Evening,77.1725,1.57725,90.445,58.175,169.82750000000001,2.6950000000000003,0.35350000000000004,3,5,0.768,-5.736250000000005,1.8175000000000097,0,25,0,0,0.0114,0.0,0.0,1.85745,0.0,1.0
M001,L1,2026-01-03 20:00:00,Evening,77.7575,1.88975,92.1725,61.665,174.9325,1.4975,0.298,3,5,0.768,-2.2462500000000034,0.09000000000000341,0,25,0,1,0.0166,0.0,0.0,1.3860249999999978,0.0,0.99
M001,L1,2026-01-04 00:00:00,Night,78.7675,1.824,92.77000000000001,60.365,171.925,1.51,0.235,3,6,0.768,-3.5462500000000006,0.5075000000000074,1,24,0,0,0.02,0.0,0.0,1.7160999999999995,0.0,1.0
