batch_id,line_id,timestamp,shift,product_type,material_batch,operator_team,planned_units,actual_units,good_units,avg_temperature,avg_vibration,avg_pressure,avg_cycle_time,avg_energy_consumption
B2026010100_L1,L1,2026-01-01 00:00:00,Night,Battery Module,MAT-0101-L1,Team B,184,174,173,77.17,2.603,100.32,53.93,167.17
B2026010104_L1,L1,2026-01-01 04:00:00,Night,Battery Module,MAT-0101-L1,Team C,201,198,195,77.81,2.532,101.56,54.44,167.42
B2026010108_L1,L1,2026-01-01 08:00:00,Day,Battery Module,MAT-0101-L1,Team D,201,198,192,75.36,2.42,100.61,54.01,166.51
B2026010112_L1,L1,2026-01-01 12:00:00,Day,Battery Module,MAT-0101-L1,Team A,187,187,181,73.94,2.441,98.17,53.44,165.75
B2026010116_L1,L1,2026-01-01 16:00:00,Evening,Battery Module,MAT-0101-L1,Team B,201,203,202,74.15,2.5,97.01,53.31,166.65
B2026010120_L1,L1,2026-01-01 20:00:00,Evening,Battery Module,MAT-0101-L1,Team C,221,211,211,75.1,2.549,97.91,53.77,167.13
B2026010200_L1,L1,2026-01-02 00:00:00,Night,Steering Column,MAT-0102-L1,Team B,182,181,171,76.88,2.619,99.87,54.12,167.81
B2026010204_L1,L1,2026-01-02 04:00:00,Night,Steering Column,MAT-0102-L1,Team C,217,213,202,78.0,2.609,101.65,54.2,167.78
B2026010208_L1,L1,2026-01-02 08:00:00,Day,Steering Column,MAT-0102-L1,Team D,209,201,193,75.73,2.452,100.13,53.8,166.8
B2026010212_L1,L1,2026-01-02 12:00:00,Day,Steering Column,MAT-0102-L1,Team A,186,184,176,73.83,2.463,98.65,53.94,165.97
B2026010216_L1,L1,2026-01-02 16:00:00,Evening,Steering Column,MAT-0102-L1,Team B,227,228,224,73.6,2.56,97.02,53.95,166.1
B2026010220_L1,L1,2026-01-02 20:00:00,Evening,Steering Column,MAT-0102-L1,Team C,221,210,201,74.6,2.544,97.55,54.07,167.08
B2026010300_L1,L1,2026-01-03 00:00:00,Night,SUV Frame,MAT-0103-L1,Team B,190,185,178,76.4,2.656,100.02,54.35,167.49
B2026010304_L1,L1,2026-01-03 04:00:00,Night,SUV Frame,MAT-0103-L1,Team C,231,232,218,77.85,2.635,101.36,53.51,167.51
B2026010308_L1,L1,2026-01-03 08:00:00,Day,SUV Frame,MAT-0103-L1,Team D,236,232,228,75.7,2.466,100.73,54.2,166.89
B2026010312_L1,L1,2026-01-03 12:00:00,Day,SUV Frame,MAT-0103-L1,Team A,223,215,208,74.2,2.5,98.35,54.09,166.63
B2026010316_L1,L1,2026-01-03 16:00:00,Evening,SUV Frame,MAT-0103-L1,Team B,199,195,187,74.08,2.613,97.12,53.41,166.44
B2026010320_L1,L1,2026-01-03 20:00:00,Evening,SUV Frame,MAT-0103-L1,Team C,213,215,201,74.1,2.527,97.95,53.61,165.81
B2026010400_L1,L1,2026-01-04 00:00:00,Night,Battery Module,MAT-0104-L1,Team B,222,223,213,76.87,2.644,100.26,54.21,167.52
B2026010404_L1,L1,2026-01-04 04:00:00,Night,Battery Module,MAT-0104-L1,Team C,194,193,190,77.98,2.688,101.58,53.53,167.06
B2026010408_L1,L1,2026-01-04 08:00:00,Day,Battery Module,MAT-0104-L1,Team D,204,200,193,75.75,2.484,100.89,54.38,167.31
B2026010412_L1,L1,2026-01-04 12:00:00,Day,Battery Module,MAT-0104-L1,Team A,203,206,193,73.82,2.475,98.49,53.29,165.87
B2026010416_L1,L1,2026-01-04 16:00:00,Evening,Battery Module,MAT-0104-L1,Team B,213,204,198,74.05,2.621,96.71,54.29,166.89
B2026010420_L1,L1,2026-01-04 20:00:00,Evening,Battery Module,MAT-0104-L1,Team C,185,181,172,74.72,2.605,97.84,54.15,167.35
B2026010500_L1,L1,2026-01-05 00:00:00,Night,Steering Column,MAT-0105-L1,Team B,191,182,177,76.88,2.652,99.76,53.76,167.02
B2026010504_L1,L1,2026-01-05 04:00:00,Night,Steering Column,MAT-0105-L1,Team C,209,210,203,78.13,2.662,100.99,54.0,167.84
B2026010508_L1,L1,2026-01-05 08:00:00,Day,Steering Column,MAT-0105-L1,Team D,201,194,183,75.3,2.485,100.39,53.79,166.38
B2026010512_L1,L1,2026-01-05 12:00:00,Day,Steering Column,MAT-0105-L1,Team A,200,198,190,73.84,2.48,98.04,53.86,165.86
B2026010516_L1,L1,2026-01-05 16:00:00,Evening,Steering Column,MAT-0105-L1,Team B,217,212,208,73.51,2.615,96.38,54.33,167.57
B2026010520_L1,L1,2026-01-05 20:00:00,Evening,Steering Column,MAT-0105-L1,Team C,199,194,184,74.67,2.603,97.48,54.55,167.16
B2026010600_L1,L1,2026-01-06 00:00:00,Night,SUV Frame,MAT-0106-L1,Team B,239,251,241,77.05,2.663,99.69,54.61,168.38
B2026010604_L1,L1,2026-01-06 04:00:00,Night,SUV Frame,MAT-0106-L1,Team C,189,179,168,78.33,2.628,101.33,54.32,167.73
B2026010608_L1,L1,2026-01-06 08:00:00,Day,SUV Frame,MAT-0106-L1,Team D,223,208,205,75.76,2.52,100.4,54.27,166.41
B2026010612_L1,L1,2026-01-06 12:00:00,Day,SUV Frame,MAT-0106-L1,Team A,211,203,192,74.0,2.514,98.51,53.94,165.81
B2026010616_L1,L1,2026-01-06 16:00:00,Evening,SUV Frame,MAT-0106-L1,Team B,203,210,202,73.95,2.69,96.45,54.31,167.37
B2026010620_L1,L1,2026-01-06 20:00:00,Evening,SUV Frame,MAT-0106-L1,Team C,194,192,181,74.56,2.578,97.88,54.5,166.98
B2026010700_L1,L1,2026-01-07 00:00:00,Night,Battery Module,MAT-0107-L1,Team B,197,189,179,76.77,2.607,99.78,54.34,167.32
B2026010704_L1,L1,2026-01-07 04:00:00,Night,Battery Module,MAT-0107-L1,Team C,201,204,193,78.28,2.742,101.48,54.75,168.49
B2026010708_L1,L1,2026-01-07 08:00:00,Day,Battery Module,MAT-0107-L1,Team D,204,203,199,75.49,2.57,100.58,54.22,167.19
B2026010712_L1,L1,2026-01-07 12:00:00,Day,Battery Module,MAT-0107-L1,Team A,184,176,172,74.29,2.554,97.97,54.25,166.28
B2026010716_L1,L1,2026-01-07 16:00:00,Evening,Battery Module,MAT-0107-L1,Team B,219,212,209,73.71,2.649,96.41,54.33,166.21
B2026010720_L1,L1,2026-01-07 20:00:00,Evening,Battery Module,MAT-0107-L1,Team C,224,216,207,74.96,2.627,98.06,54.83,167.5
B2026010800_L1,L1,2026-01-08 00:00:00,Night,Steering Column,MAT-0108-L1,Team B,189,183,171,76.91,2.69,99.62,54.43,168.23
B2026010804_L1,L1,2026-01-08 04:00:00,Night,Steering Column,MAT-0108-L1,Team C,237,234,227,78.08,2.724,101.18,54.71,167.5
B2026010808_L1,L1,2026-01-08 08:00:00,Day,Steering Column,MAT-0108-L1,Team D,209,204,197,75.71,2.552,100.7,54.51,166.95
B2026010812_L1,L1,2026-01-08 12:00:00,Day,Steering Column,MAT-0108-L1,Team A,237,234,224,74.4,2.565,98.18,54.4,167.38
