quality_check_id,batch_id,machine_id,line_id,timestamp,shift,temperature,vibration,pressure,cycle_time,energy_consumption,machine_age_years,maintenance_status,product_type,material_batch,operator_team,pressure_instability,defect_probability,defect_flag,defect_type,defect_count
QC_M001_2026010100,B2026010100_L1,M001,L1,2026-01-01 00:00:00,Night,79.92,1.649,92.03,59.16,171.55,3,recent,Steering Column,MAT-0101-L1,Team B,1.87,0.0187,0,None,1
QC_M001_2026010104,B2026010104_L1,M001,L1,2026-01-01 04:00:00,Night,80.66,1.69,95.96,62.34,173.68,3,recent,Steering Column,MAT-0101-L1,Team C,2.82,0.0249,0,None,0
QC_M001_2026010108,B2026010108_L1,M001,L1,2026-01-01 08:00:00,Day,77.83,1.542,94.53,60.6,171.14,3,recent,Steering Column,MAT-0101-L1,Team D,2.25,0.0114,0,None,0
QC_M001_2026010112,B2026010112_L1,M001,L1,2026-01-01 12:00:00,Day,76.11,1.459,91.36,60.96,170.59,3,recent,Steering Column,MAT-0101-L1,Team A,1.78,0.0089,0,None,0
QC_M001_2026010116,B2026010116_L1,M001,L1,2026-01-01 16:00:00,Evening,75.8,1.68,89.77,61.45,171.63,3,recent,Steering Column,MAT-0101-L1,Team B,3.38,0.0133,0,None,0
QC_M001_2026010120,B2026010120_L1,M001,L1,2026-01-01 20:00:00,Evening,76.67,1.643,91.08,59.55,170.75,3,recent,Steering Column,MAT-0101-L1,Team C,2.13,0.0113,0,None,0
QC_M001_2026010200,B2026010200_L1,M001,L1,2026-01-02 00:00:00,Night,80.66,1.784,91.97,60.58,173.5,3,recent,SUV Frame,MAT-0102-L1,Team B,1.17,0.022,0,None,2
QC_M001_2026010204,B2026010204_L1,M001,L1,2026-01-02 04:00:00,Night,81.04,1.756,95.19,61.19,174.02,3,recent,SUV Frame,MAT-0102-L1,Team C,2.04,0.0244,0,None,0
QC_M001_2026010208,B2026010208_L1,M001,L1,2026-01-02 08:00:00,Day,77.51,1.515,94.05,60.08,170.36,3,recent,SUV Frame,MAT-0102-L1,Team D,1.66,0.0102,0,None,0
QC_M001_2026010212,B2026010212_L1,M001,L1,2026-01-02 12:00:00,Day,77.46,1.718,91.14,60.2,172.19,3,recent,SUV Frame,MAT-0102-L1,Team A,2.27,0.0134,0,None,0
QC_M001_2026010216,B2026010216_L1,M001,L1,2026-01-02 16:00:00,Evening,75.31,1.525,90.39,61.59,171.72,3,recent,SUV Frame,MAT-0102-L1,Team B,2.75,0.0103,0,None,0
QC_M001_2026010220,B2026010220_L1,M001,L1,2026-01-02 20:00:00,Evening,76.82,1.621,90.39,59.69,172.58,3,recent,SUV Frame,MAT-0102-L1,Team C,2.75,0.0117,0,None,0
QC_M001_2026010300,B2026010300_L1,M001,L1,2026-01-03 00:00:00,Night,81.0,1.718,93.07,60.54,174.84,3,recent,Battery Module,MAT-0103-L1,Team B,2.94,0.0246,0,None,0
QC_M001_2026010304,B2026010304_L1,M001,L1,2026-01-03 04:00:00,Night,81.26,1.814,95.87,62.44,175.62,3,recent,Battery Module,MAT-0103-L1,Team C,2.81,0.0303,0,None,0
QC_M001_2026010308,B2026010308_L1,M001,L1,2026-01-03 08:00:00,Day,77.62,1.692,94.5,59.8,171.57,3,recent,Battery Module,MAT-0103-L1,Team D,1.67,0.0127,0,None,0
QC_M001_2026010312,B2026010312_L1,M001,L1,2026-01-03 12:00:00,Day,76.36,1.609,92.44,61.57,172.94,3,recent,Battery Module,MAT-0103-L1,Team A,1.45,0.0107,0,None,0
QC_M001_2026010316,B2026010316_L1,M001,L1,2026-01-03 16:00:00,Evening,77.17,1.577,90.44,58.17,169.83,3,recent,Battery Module,MAT-0103-L1,Team B,2.7,0.0114,0,None,0
QC_M001_2026010320,B2026010320_L1,M001,L1,2026-01-03 20:00:00,Evening,77.76,1.89,92.17,61.66,174.93,3,recent,Battery Module,MAT-0103-L1,Team C,1.5,0.0166,0,None,1
QC_M001_2026010400,B2026010400_L1,M001,L1,2026-01-04 00:00:00,Night,78.77,1.824,92.77,60.37,171.93,3,recent,Steering Column,MAT-0104-L1,Team B,1.51,0.02,0,None,0
QC_M001_2026010404,B2026010404_L1,M001,L1,2026-01-04 04:00:00,Night,81.57,1.687,93.48,59.77,173.01,3,recent,Steering Column,MAT-0104-L1,Team C,1.6,0.0224,0,None,0
QC_M001_2026010408,B2026010408_L1,M001,L1,2026-01-04 08:00:00,Day,78.33,1.562,94.96,60.41,173.7,3,recent,Steering Column,MAT-0104-L1,Team D,2.06,0.0117,0,None,0
QC_M001_2026010412,B2026010412_L1,M001,L1,2026-01-04 12:00:00,Day,76.98,1.72,93.05,60.66,173.71,3,recent,Steering Column,MAT-0104-L1,Team A,1.51,0.0122,0,None,0
QC_M001_2026010416,B2026010416_L1,M001,L1,2026-01-04 16:00:00,Evening,76.66,1.621,91.43,59.87,171.33,3,recent,Steering Column,MAT-0104-L1,Team B,1.71,0.0107,0,None,0
QC_M001_2026010420,B2026010420_L1,M001,L1,2026-01-04 20:00:00,Evening,76.92,1.743,92.3,61.09,172.3,3,recent,Steering Column,MAT-0104-L1,Team C,1.17,0.0124,0,None,0
QC_M001_2026010500,B2026010500_L1,M001,L1,2026-01-05 00:00:00,Night,79.98,1.923,94.0,61.67,175.66,3,recent,SUV Frame,MAT-0105-L1,Team B,2.25,0.0283,0,None,0
QC_M001_2026010504,B2026010504_L1,M001,L1,2026-01-05 04:00:00,Night,81.9,1.774,95.12,61.64,173.18,3,recent,SUV Frame,MAT-0105-L1,Team C,2.48,0.029,0,None,0
QC_M001_2026010508,B2026010508_L1,M001,L1,2026-01-05 08:00:00,Day,78.14,1.657,94.64,61.15,173.54,3,recent,SUV Frame,MAT-0105-L1,Team D,1.5,0.0129,0,None,0
QC_M001_2026010512,B2026010512_L1,M001,L1,2026-01-05 12:00:00,Day,77.24,1.702,93.09,61.12,171.98,3,recent,SUV Frame,MAT-0105-L1,Team A,1.62,0.0127,0,None,0
QC_M001_2026010516,B2026010516_L1,M001,L1,2026-01-05 16:00:00,Evening,76.45,1.758,91.29,61.0,172.69,3,recent,SUV Frame,MAT-0105-L1,Team B,1.87,0.013,0,None,0
QC_M001_2026010520,B2026010520_L1,M001,L1,2026-01-05 20:00:00,Evening,77.23,1.86,91.8,61.84,174.08,3,recent,SUV Frame,MAT-0105-L1,Team C,1.34,0.0154,0,None,0
QC_M001_2026010600,B2026010600_L1,M001,L1,2026-01-06 00:00:00,Night,80.45,1.828,95.01,62.3,176.51,3,scheduled,Battery Module,MAT-0106-L1,Team B,1.87,0.026,0,None,0
QC_M001_2026010604,B2026010604_L1,M001,L1,2026-01-06 04:00:00,Night,82.22,1.778,95.74,59.99,173.47,3,scheduled,Battery Module,MAT-0106-L1,Team C,2.6,0.029,0,None,0
QC_M001_2026010608,B2026010608_L1,M001,L1,2026-01-06 08:00:00,Day,78.51,1.626,94.25,62.49,175.33,3,scheduled,Battery Module,MAT-0106-L1,Team D,1.33,0.0133,0,None,0
QC_M001_2026010612,B2026010612_L1,M001,L1,2026-01-06 12:00:00,Day,77.09,1.826,90.05,60.54,170.12,3,scheduled,Battery Module,MAT-0106-L1,Team A,3.09,0.0159,0,None,0
QC_M001_2026010616,B2026010616_L1,M001,L1,2026-01-06 16:00:00,Evening,77.04,1.765,91.8,62.78,174.62,3,scheduled,Battery Module,MAT-0106-L1,Team B,1.34,0.0141,0,None,0
QC_M001_2026010620,B2026010620_L1,M001,L1,2026-01-06 20:00:00,Evening,76.53,1.72,92.89,59.85,170.49,3,scheduled,Battery Module,MAT-0106-L1,Team C,1.72,0.0119,0,None,0
QC_M001_2026010700,B2026010700_L1,M001,L1,2026-01-07 00:00:00,Night,80.09,1.736,93.9,62.61,174.06,3,scheduled,Steering Column,MAT-0107-L1,Team B,1.97,0.024,0,None,0
QC_M001_2026010704,B2026010704_L1,M001,L1,2026-01-07 04:00:00,Night,81.5,1.891,95.23,62.1,175.79,3,scheduled,Steering Column,MAT-0107-L1,Team C,2.09,0.0313,0,None,0
QC_M001_2026010708,B2026010708_L1,M001,L1,2026-01-07 08:00:00,Day,79.33,1.79,95.18,61.7,175.24,3,scheduled,Steering Column,MAT-0107-L1,Team D,2.04,0.0172,0,None,0
QC_M001_2026010712,B2026010712_L1,M001,L1,2026-01-07 12:00:00,Day,75.89,1.716,92.5,62.33,174.87,3,scheduled,Steering Column,MAT-0107-L1,Team A,1.92,0.0125,0,None,0
QC_M001_2026010716,B2026010716_L1,M001,L1,2026-01-07 16:00:00,Evening,75.72,1.85,89.58,61.47,172.28,3,scheduled,Steering Column,MAT-0107-L1,Team B,3.56,0.0156,0,None,0
QC_M001_2026010720,B2026010720_L1,M001,L1,2026-01-07 20:00:00,Evening,77.11,1.812,90.37,63.14,174.7,3,scheduled,Steering Column,MAT-0107-L1,Team C,2.77,0.0171,0,None,0
QC_M001_2026010800,B2026010800_L1,M001,L1,2026-01-08 00:00:00,Night,81.18,1.903,95.36,62.41,176.02,3,scheduled,SUV Frame,MAT-0108-L1,Team B,2.53,0.0322,0,None,0
QC_M001_2026010804,B2026010804_L1,M001,L1,2026-01-08 04:00:00,Night,81.69,1.923,95.14,62.28,174.49,3,scheduled,SUV Frame,MAT-0108-L1,Team C,2.5,0.0342,0,None,0
QC_M001_2026010808,B2026010808_L1,M001,L1,2026-01-08 08:00:00,Day,79.17,1.716,94.62,60.83,174.41,3,scheduled,SUV Frame,MAT-0108-L1,Team D,1.48,0.0145,0,None,1
QC_M001_2026010812,B2026010812_L1,M001,L1,2026-01-08 12:00:00,Day,78.13,1.735,92.59,62.08,174.13,3,scheduled,SUV Frame,MAT-0108-L1,Team A,0.94,0.0141,0,None,0
QC_M001_2026010816,B2026010816_L1,M001,L1,2026-01-08 16:00:00,Evening,77.7,1.93,91.33,62.69,173.9,3,scheduled,SUV Frame,MAT-0108-L1,Team B,1.81,0.018,0,None,0
QC_M001_2026010820,B2026010820_L1,M001,L1,2026-01-08 20:00:00,Evening,78.62,1.738,91.36,63.0,174.1,3,scheduled,SUV Frame,MAT-0108-L1,Team C,2.08,0.0166,0,None,0
QC_M001_2026010900,B2026010900_L1,M001,L1,2026-01-09 00:00:00,Night,81.05,1.872,93.06,61.91,175.12,3,scheduled,Battery Module,MAT-0109-L1,Team B,2.21,0.0291,0,None,1
QC_M001_2026010904,B2026010904_L1,M001,L1,2026-01-09 04:00:00,Night,82.82,1.814,94.7,63.4,174.67,3,scheduled,Battery Module,MAT-0109-L1,Team C,1.57,0.0348,0,None,0
QC_M001_2026010908,B2026010908_L1,M001,L1,2026-01-09 08:00:00,Day,78.52,1.855,94.64,60.97,173.53,3,scheduled,Battery Module,MAT-0109-L1,Team D,2.87,0.0183,0,None,0
QC_M001_2026010912,B2026010912_L1,M001,L1,2026-01-09 12:00:00,Day,76.78,1.89,90.57,62.34,173.85,3,scheduled,Battery Module,MAT-0109-L1,Team A,2.57,0.0174,0,None,0
QC_M001_2026010916,B2026010916_L1,M001,L1,2026-01-09 16:00:00,Evening,76.8,1.769,90.34,63.11,172.91,3,scheduled,Battery Module,MAT-0109-L1,Team B,2.8,0.0154,0,None,0
QC_M001_2026010920,B2026010920_L1,M001,L1,2026-01-09 20:00:00,Evening,77.13,1.914,91.71,60.29,171.6,3,scheduled,Battery Module,MAT-0109-L1,Team C,1.43,0.0153,0,None,0
QC_M001_2026011000,B2026011000_L1,M001,L1,2026-01-10 00:00:00,Night,79.22,2.114,91.55,62.39,174.56,3,scheduled,Steering Column,MAT-0110-L1,Team B,1.59,0.031,0,None,0
QC_M001_2026011004,B2026011004_L1,M001,L1,2026-01-10 04:00:00,Night,82.2,2.081,95.06,61.06,175.97,3,scheduled,Steering Column,MAT-0110-L1,Team C,2.27,0.0408,0,None,0
QC_M001_2026011008,B2026011008_L1,M001,L1,2026-01-10 08:00:00,Day,78.99,1.87,94.92,62.65,175.61,3,scheduled,Steering Column,MAT-0110-L1,Team D,1.78,0.0197,0,None,2
QC_M001_2026011012,B2026011012_L1,M001,L1,2026-01-10 12:00:00,Day,77.31,1.852,92.05,61.2,171.43,3,scheduled,Steering Column,MAT-0110-L1,Team A,1.15,0.0145,0,None,0
QC_M001_2026011016,B2026011016_L1,M001,L1,2026-01-10 16:00:00,Evening,76.43,1.845,92.08,62.5,174.1,3,scheduled,Steering Column,MAT-0110-L1,Team B,1.35,0.0146,0,None,0
QC_M001_2026011020,B2026011020_L1,M001,L1,2026-01-10 20:00:00,Evening,77.07,1.864,91.45,61.71,173.16,3,scheduled,Steering Column,MAT-0110-L1,Team C,1.79,0.0154,0,None,0
QC_M001_2026011100,B2026011100_L1,M001,L1,2026-01-11 00:00:00,Night,79.29,2.192,92.21,62.03,175.47,3,scheduled,SUV Frame,MAT-0111-L1,Team B,2.86,0.0371,0,None,0
QC_M001_2026011104,B2026011104_L1,M001,L1,2026-01-11 04:00:00,Night,80.59,1.935,95.56,62.05,175.88,3,scheduled,SUV Frame,MAT-0111-L1,Team C,2.8,0.0305,0,None,0
QC_M001_2026011108,B2026011108_L1,M001,L1,2026-01-11 08:00:00,Day,78.74,1.867,92.94,63.58,174.65,3,scheduled,SUV Frame,MAT-0111-L1,Team D,0.45,0.0175,0,None,0
QC_M001_2026011112,B2026011112_L1,M001,L1,2026-01-11 12:00:00,Day,77.28,1.915,91.48,63.66,174.49,3,scheduled,SUV Frame,MAT-0111-L1,Team A,2.01,0.0192,0,None,0
