machine_id,line_id,timestamp,shift,temperature,vibration,pressure,cycle_time,energy_consumption,machine_age_years,maintenance_status,last_maintenance_days_ago,pressure_instability,sensor_anomaly_signal
M001,L1,2026-01-01 00:00:00,Night,76.46,2.921,96.06,58.52,172.0,3,scheduled,17,1.83,0.441
M001,L1,2026-01-01 01:00:00,Night,77.9,2.734,97.18,57.43,168.98,3,scheduled,17,0.71,0.198
M001,L1,2026-01-01 02:00:00,Night,76.64,2.472,99.42,59.97,171.16,3,scheduled,17,1.53,0.296
M001,L1,2026-01-01 03:00:00,Night,78.67,2.804,102.19,56.92,169.13,3,scheduled,17,4.3,0.632
M001,L1,2026-01-01 04:00:00,Night,80.81,2.834,103.03,56.84,167.6,3,scheduled,17,5.14,0.905
M001,L1,2026-01-01 05:00:00,Night,77.17,3.094,103.65,56.03,169.1,3,scheduled,17,5.76,1.068
M001,L1,2026-01-01 06:00:00,Night,81.57,2.508,98.48,57.87,169.6,3,scheduled,17,0.59,0.464
M001,L1,2026-01-01 07:00:00,Night,79.26,2.708,100.87,59.58,171.98,3,scheduled,17,2.98,0.47
M001,L1,2026-01-01 08:00:00,Day,78.15,2.234,99.87,54.83,164.04,3,scheduled,17,1.98,0.35
M001,L1,2026-01-01 09:00:00,Day,75.91,2.543,101.12,53.91,166.94,3,scheduled,17,3.23,0.501
M001,L1,2026-01-01 10:00:00,Day,76.09,2.544,100.77,57.45,172.55,3,scheduled,17,2.88,0.459
M001,L1,2026-01-01 11:00:00,Day,76.14,2.478,98.11,56.89,169.11,3,scheduled,17,0.22,0.139
M001,L1,2026-01-01 12:00:00,Day,74.51,2.619,98.26,61.21,176.21,3,scheduled,17,0.37,0.157
M001,L1,2026-01-01 13:00:00,Day,74.4,2.551,94.76,55.31,168.25,3,scheduled,17,3.13,0.488
M001,L1,2026-01-01 14:00:00,Day,76.69,2.472,95.56,52.35,165.41,3,scheduled,17,2.33,0.392
M001,L1,2026-01-01 15:00:00,Day,73.41,2.508,94.68,56.25,163.34,3,scheduled,17,3.21,0.497
M001,L1,2026-01-01 16:00:00,Evening,73.38,3.097,93.43,54.18,172.62,3,scheduled,17,4.46,0.915
M001,L1,2026-01-01 17:00:00,Evening,79.36,2.455,94.88,57.13,173.79,3,scheduled,17,3.01,0.474
M001,L1,2026-01-01 18:00:00,Evening,73.84,2.635,96.9,57.32,167.94,3,scheduled,17,0.99,0.232
M001,L1,2026-01-01 19:00:00,Evening,75.09,2.416,95.11,55.88,168.19,3,scheduled,17,2.78,0.446
M001,L1,2026-01-01 20:00:00,Evening,74.66,2.775,97.65,56.75,169.96,3,scheduled,17,0.24,0.141
M001,L1,2026-01-01 21:00:00,Evening,75.77,2.683,94.85,57.08,169.04,3,scheduled,17,3.04,0.478
M001,L1,2026-01-01 22:00:00,Evening,78.96,2.989,97.38,54.86,166.62,3,scheduled,17,0.51,0.344
M001,L1,2026-01-01 23:00:00,Evening,78.08,2.734,98.13,52.85,169.5,3,scheduled,17,0.24,0.141
M001,L1,2026-01-02 00:00:00,Night,78.42,2.527,96.9,57.08,169.56,3,scheduled,17,0.99,0.231
M001,L1,2026-01-02 01:00:00,Night,77.69,2.741,97.97,56.83,173.39,3,scheduled,17,0.08,0.122
M001,L1,2026-01-02 02:00:00,Night,74.59,2.713,99.4,57.15,168.23,3,scheduled,17,1.51,0.294
M001,L1,2026-01-02 03:00:00,Night,76.16,2.833,103.01,53.05,169.33,3,scheduled,17,5.12,0.757
M001,L1,2026-01-02 04:00:00,Night,78.61,2.75,97.82,55.74,172.47,3,scheduled,17,0.07,0.121
M001,L1,2026-01-02 05:00:00,Night,80.16,3.131,102.53,57.47,176.12,3,scheduled,17,4.64,0.996
M001,L1,2026-01-02 06:00:00,Night,80.0,2.939,99.66,56.64,168.9,3,scheduled,17,1.77,0.449
M001,L1,2026-01-02 07:00:00,Night,80.79,2.513,101.74,56.06,172.18,3,scheduled,17,3.85,0.716
M001,L1,2026-01-02 08:00:00,Day,78.29,2.951,101.17,53.5,168.09,3,scheduled,17,3.28,0.642
M001,L1,2026-01-02 09:00:00,Day,75.53,2.53,102.12,57.7,167.46,3,scheduled,17,4.23,0.62
M001,L1,2026-01-02 10:00:00,Day,75.41,2.629,96.98,55.22,168.62,3,scheduled,17,0.91,0.221
M001,L1,2026-01-02 11:00:00,Day,77.84,2.733,94.58,57.07,170.05,3,scheduled,17,3.31,0.51
M001,L1,2026-01-02 12:00:00,Day,76.46,2.914,94.34,55.37,170.45,3,scheduled,17,3.55,0.641
M001,L1,2026-01-02 13:00:00,Day,73.45,2.889,97.86,58.1,168.59,3,scheduled,17,0.03,0.197
M001,L1,2026-01-02 14:00:00,Day,76.18,2.815,97.05,56.94,170.33,3,scheduled,17,0.84,0.228
M001,L1,2026-01-02 15:00:00,Day,73.67,2.597,95.89,57.22,171.17,3,scheduled,17,2.0,0.352
M001,L1,2026-01-02 16:00:00,Evening,73.95,2.679,98.49,54.96,165.44,3,scheduled,17,0.6,0.185
M001,L1,2026-01-02 17:00:00,Evening,75.56,2.867,95.55,59.22,173.29,3,scheduled,17,2.34,0.453
M001,L1,2026-01-02 18:00:00,Evening,76.41,2.811,99.72,56.07,164.12,3,scheduled,17,1.83,0.342
M001,L1,2026-01-02 19:00:00,Evening,77.53,2.614,95.73,59.18,166.84,3,scheduled,17,2.16,0.372
M001,L1,2026-01-02 20:00:00,Evening,73.68,2.392,94.31,57.39,169.52,3,scheduled,17,3.58,0.542
M001,L1,2026-01-02 21:00:00,Evening,76.08,2.428,91.91,56.6,167.15,3,scheduled,17,5.98,0.83
M001,L1,2026-01-02 22:00:00,Evening,76.67,2.84,96.9,58.05,171.12,3,scheduled,17,0.99,0.266
M001,L1,2026-01-02 23:00:00,Evening,77.15,2.566,96.9,56.89,171.19,3,scheduled,17,0.99,0.231
M001,L1,2026-01-03 00:00:00,Night,77.12,2.894,97.3,56.29,171.73,3,scheduled,17,0.59,0.268
M001,L1,2026-01-03 01:00:00,Night,75.08,2.508,95.48,51.32,163.2,3,scheduled,17,2.41,0.402
M001,L1,2026-01-03 02:00:00,Night,79.67,2.723,99.43,59.0,174.82,3,scheduled,17,1.54,0.297
M001,L1,2026-01-03 03:00:00,Night,78.75,3.071,99.71,54.68,167.98,3,scheduled,17,1.82,0.575
M001,L1,2026-01-03 04:00:00,Night,76.84,2.594,99.19,58.35,174.4,3,scheduled,17,1.3,0.269
M001,L1,2026-01-03 05:00:00,Night,77.15,2.866,98.06,57.62,170.12,3,scheduled,17,0.17,0.193
M001,L1,2026-01-03 06:00:00,Night,76.51,2.98,99.02,55.36,166.49,3,scheduled,17,1.13,0.41
M001,L1,2026-01-03 07:00:00,Night,78.27,2.874,99.77,57.29,171.41,3,scheduled,17,1.88,0.404
M001,L1,2026-01-03 08:00:00,Day,79.03,2.581,97.4,58.58,169.86,3,scheduled,17,0.49,0.172
M001,L1,2026-01-03 09:00:00,Day,78.5,2.712,99.3,57.22,174.93,3,scheduled,17,1.41,0.282
M001,L1,2026-01-03 10:00:00,Day,79.42,2.656,99.3,58.6,168.88,3,scheduled,17,1.41,0.282
M001,L1,2026-01-03 11:00:00,Day,76.77,2.638,98.98,54.97,164.03,3,scheduled,17,1.09,0.244
M001,L1,2026-01-03 12:00:00,Day,73.23,2.442,97.05,56.0,172.19,3,scheduled,17,0.84,0.213
M001,L1,2026-01-03 13:00:00,Day,76.95,2.47,97.8,55.78,167.39,3,scheduled,17,0.09,0.123
M001,L1,2026-01-03 14:00:00,Day,75.36,2.755,96.05,58.57,167.51,3,scheduled,17,1.84,0.333
M001,L1,2026-01-03 15:00:00,Day,74.8,3.111,96.51,59.28,171.92,3,scheduled,17,1.38,0.557
M001,L1,2026-01-03 16:00:00,Evening,76.25,2.712,95.44,54.95,169.17,3,scheduled,17,2.45,0.407
M001,L1,2026-01-03 17:00:00,Evening,74.08,2.852,97.5,57.31,168.82,3,scheduled,17,0.39,0.206
M001,L1,2026-01-03 18:00:00,Evening,75.86,2.663,97.15,52.8,165.62,3,scheduled,17,0.74,0.202
M001,L1,2026-01-03 19:00:00,Evening,72.48,2.432,98.02,58.39,166.91,3,scheduled,17,0.13,0.128
M001,L1,2026-01-03 20:00:00,Evening,73.33,2.147,94.75,61.52,171.22,3,scheduled,17,3.14,0.489
M001,L1,2026-01-03 21:00:00,Evening,74.91,2.813,93.27,55.94,168.97,3,scheduled,17,4.62,0.679
M001,L1,2026-01-03 22:00:00,Evening,75.9,2.877,97.26,57.92,168.68,3,scheduled,17,0.63,0.257
M001,L1,2026-01-03 23:00:00,Evening,77.67,3.04,95.43,54.73,172.51,3,scheduled,17,2.46,0.624
M001,L1,2026-01-04 00:00:00,Night,77.43,3.101,96.92,59.88,172.97,3,scheduled,17,0.97,0.5
M001,L1,2026-01-04 01:00:00,Night,78.53,3.135,97.71,54.51,168.36,3,scheduled,17,0.18,0.437
M001,L1,2026-01-04 02:00:00,Night,79.22,2.47,100.29,55.41,171.23,3,scheduled,17,2.4,0.4
M001,L1,2026-01-04 03:00:00,Night,75.18,2.636,96.12,54.76,168.14,3,scheduled,17,1.77,0.324
M001,L1,2026-01-04 04:00:00,Night,78.83,2.749,99.57,57.07,167.62,3,scheduled,17,1.68,0.314
M001,L1,2026-01-04 05:00:00,Night,80.35,2.944,100.9,57.86,172.27,3,scheduled,17,3.01,0.667
M001,L1,2026-01-04 06:00:00,Night,82.45,2.785,99.59,54.93,167.06,3,scheduled,17,1.7,0.757
M001,L1,2026-01-04 07:00:00,Night,77.36,2.614,99.99,57.37,169.75,3,scheduled,17,2.1,0.364
M001,L1,2026-01-04 08:00:00,Day,76.31,2.825,101.15,56.31,167.67,3,scheduled,17,3.26,0.526
M001,L1,2026-01-04 09:00:00,Day,77.77,2.697,97.05,56.49,170.03,3,scheduled,17,0.84,0.214
M001,L1,2026-01-04 10:00:00,Day,75.55,2.697,96.54,59.15,173.74,3,scheduled,17,1.35,0.275
M001,L1,2026-01-04 11:00:00,Day,76.01,2.728,94.33,54.42,167.0,3,scheduled,17,3.56,0.539
M001,L1,2026-01-04 12:00:00,Day,74.53,2.792,101.21,54.38,165.47,3,scheduled,17,3.32,0.51
M001,L1,2026-01-04 13:00:00,Day,75.82,2.953,95.11,57.09,174.61,3,scheduled,17,2.78,0.584
M001,L1,2026-01-04 14:00:00,Day,72.98,2.432,95.89,55.63,169.05,3,scheduled,17,2.0,0.353
M001,L1,2026-01-04 15:00:00,Day,75.11,2.344,96.99,55.52,170.36,3,scheduled,17,0.9,0.221
M001,L1,2026-01-04 16:00:00,Evening,74.56,2.619,96.73,58.18,170.67,3,scheduled,17,1.16,0.252
M001,L1,2026-01-04 17:00:00,Evening,72.91,2.848,93.59,57.1,165.57,3,scheduled,17,4.3,0.671
M001,L1,2026-01-04 18:00:00,Evening,75.85,2.586,93.06,58.08,170.29,3,scheduled,17,4.83,0.693
M001,L1,2026-01-04 19:00:00,Evening,74.42,3.025,94.68,56.68,170.36,3,scheduled,17,3.21,0.7
M001,L1,2026-01-04 20:00:00,Evening,74.57,2.835,94.75,55.77,172.0,3,scheduled,17,3.14,0.52
M001,L1,2026-01-04 21:00:00,Evening,74.23,2.274,99.07,61.85,169.89,3,scheduled,17,1.18,0.254
M001,L1,2026-01-04 22:00:00,Evening,73.3,2.683,96.08,56.23,165.4,3,scheduled,17,1.81,0.329
M001,L1,2026-01-04 23:00:00,Evening,77.22,2.845,94.45,58.05,175.82,3,scheduled,17,3.44,0.566
M001,L1,2026-01-05 00:00:00,Night,77.99,2.751,97.51,58.06,166.27,3,scheduled,17,0.38,0.159
M001,L1,2026-01-05 01:00:00,Night,78.39,2.74,102.12,56.29,173.68,3,scheduled,17,4.23,0.62
M001,L1,2026-01-05 02:00:00,Night,76.83,2.948,99.63,54.73,169.17,3,scheduled,17,1.74,0.454
M001,L1,2026-01-05 03:00:00,Night,80.71,2.754,96.09,56.64,168.03,3,scheduled,17,1.8,0.457
M001,L1,2026-01-05 04:00:00,Night,78.58,2.806,96.45,53.06,168.84,3,scheduled,17,1.44,0.291
M001,L1,2026-01-05 05:00:00,Night,78.47,2.278,101.68,57.29,167.1,3,scheduled,17,3.79,0.568
M001,L1,2026-01-05 06:00:00,Night,77.3,3.001,100.89,62.02,174.77,3,scheduled,17,3.0,0.653
M001,L1,2026-01-05 07:00:00,Night,79.86,2.788,101.75,58.08,174.26,3,scheduled,17,3.86,0.575
M001,L1,2026-01-05 08:00:00,Day,76.63,2.605,99.05,58.18,173.72,3,scheduled,17,1.16,0.252
M001,L1,2026-01-05 09:00:00,Day,76.46,2.607,100.02,56.21,171.04,3,scheduled,17,2.13,0.368
M001,L1,2026-01-05 10:00:00,Day,73.8,2.534,97.66,52.27,162.9,3,scheduled,17,0.23,0.14
M001,L1,2026-01-05 11:00:00,Day,75.15,2.647,100.3,56.21,165.91,3,scheduled,17,2.41,0.402
M001,L1,2026-01-05 12:00:00,Day,75.85,2.872,96.13,54.95,169.84,3,scheduled,17,1.76,0.388
M001,L1,2026-01-05 13:00:00,Day,75.22,2.8,97.15,58.01,167.51,3,scheduled,17,0.74,0.202
M001,L1,2026-01-05 14:00:00,Day,75.11,2.645,94.52,53.71,168.55,3,scheduled,17,3.37,0.517
M001,L1,2026-01-05 15:00:00,Day,74.34,2.499,95.93,58.82,163.88,3,scheduled,17,1.96,0.348
M001,L1,2026-01-05 16:00:00,Evening,73.34,2.584,98.39,57.26,170.5,3,scheduled,17,0.5,0.173
M001,L1,2026-01-05 17:00:00,Evening,73.68,2.545,96.29,56.8,169.63,3,scheduled,17,1.6,0.304
M001,L1,2026-01-05 18:00:00,Evening,74.96,2.817,95.68,58.27,172.28,3,scheduled,17,2.21,0.393
M001,L1,2026-01-05 19:00:00,Evening,73.0,2.326,97.31,59.12,166.45,3,scheduled,17,0.58,0.182
M001,L1,2026-01-05 20:00:00,Evening,72.83,2.782,97.42,60.37,172.34,3,scheduled,17,0.47,0.169
M001,L1,2026-01-05 21:00:00,Evening,75.17,2.589,96.11,56.06,165.69,3,scheduled,17,1.78,0.326
M001,L1,2026-01-05 22:00:00,Evening,78.9,3.11,98.68,54.79,171.82,3,scheduled,17,0.79,0.486
M001,L1,2026-01-05 23:00:00,Evening,77.31,2.849,99.46,57.98,172.52,3,scheduled,17,1.57,0.345
M001,L1,2026-01-06 00:00:00,Night,78.7,2.915,94.19,56.93,169.09,3,scheduled,17,3.7,0.66
M001,L1,2026-01-06 01:00:00,Night,76.17,3.2,101.86,59.79,173.22,3,scheduled,17,3.97,0.949
M001,L1,2026-01-06 02:00:00,Night,80.6,2.846,99.38,54.29,169.98,3,scheduled,17,1.49,0.439
M001,L1,2026-01-06 03:00:00,Night,78.95,2.566,99.36,56.56,173.81,3,scheduled,17,1.47,0.289
M001,L1,2026-01-06 04:00:00,Night,80.48,2.845,100.35,56.84,170.11,3,scheduled,17,2.46,0.535
M001,L1,2026-01-06 05:00:00,Night,77.61,2.811,98.59,53.94,169.28,3,scheduled,17,0.7,0.207
M001,L1,2026-01-06 06:00:00,Night,79.92,2.464,99.92,58.97,173.46,3,scheduled,17,2.03,0.357
M001,L1,2026-01-06 07:00:00,Night,80.84,2.851,98.39,54.31,169.93,3,scheduled,17,0.5,0.371
M001,L1,2026-01-06 08:00:00,Day,77.8,2.935,101.72,56.49,166.94,3,scheduled,17,3.83,0.693
M001,L1,2026-01-06 09:00:00,Day,76.64,2.742,99.12,55.64,169.34,3,scheduled,17,1.23,0.261
M001,L1,2026-01-06 10:00:00,Day,76.07,2.59,99.5,55.98,168.98,3,scheduled,17,1.61,0.306
M001,L1,2026-01-06 11:00:00,Day,76.69,2.498,97.57,59.47,167.62,3,scheduled,17,0.32,0.151
M001,L1,2026-01-06 12:00:00,Day,73.17,2.368,97.82,56.8,167.35,3,scheduled,17,0.07,0.121
M001,L1,2026-01-06 13:00:00,Day,77.09,2.222,97.82,59.71,167.17,3,scheduled,17,0.07,0.121
M001,L1,2026-01-06 14:00:00,Day,74.63,2.568,95.05,56.12,171.66,3,scheduled,17,2.84,0.453
M001,L1,2026-01-06 15:00:00,Day,77.18,2.643,99.31,56.81,173.69,3,scheduled,17,1.42,0.283
M001,L1,2026-01-06 16:00:00,Evening,75.31,2.809,96.36,63.26,175.68,3,scheduled,17,1.53,0.312
M001,L1,2026-01-06 17:00:00,Evening,74.28,2.971,94.79,55.74,171.16,3,scheduled,17,3.1,0.639
M001,L1,2026-01-06 18:00:00,Evening,75.27,2.837,95.4,57.43,170.9,3,scheduled,17,2.49,0.445
M001,L1,2026-01-06 19:00:00,Evening,72.56,2.913,93.65,53.78,166.93,3,scheduled,17,4.24,0.723
M001,L1,2026-01-06 20:00:00,Evening,75.56,2.648,97.22,53.99,166.11,3,scheduled,17,0.67,0.193
M001,L1,2026-01-06 21:00:00,Evening,74.87,2.774,96.58,54.67,169.59,3,scheduled,17,1.31,0.269
M001,L1,2026-01-06 22:00:00,Evening,76.11,2.415,92.97,56.72,167.82,3,scheduled,17,4.92,0.702
M001,L1,2026-01-06 23:00:00,Evening,76.26,2.778,97.56,58.69,167.92,3,scheduled,17,0.33,0.152
